filename,monument_name,datetime,caption,include,exclude_reason,section,orientation,cover_candidate,docushare_url
"Acton-Concord Old Stow Road, 2025-09-24 11-04.jpg",Acton/Concord Old Stow Road,2025-09-24 11-04,,yes,,monument,landscape,yes,https://doc.actonma.gov/dsweb/Get/Document-99044/Acton-Concord Old Stow Road%2c 2025-09-24 11-04.jpg
"Acton-Concord Old Stow Road, 2025-09-24 11-05.jpg",Acton/Concord Old Stow Road,2025-09-24 11-05,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99045/Acton-Concord Old Stow Road%2c 2025-09-24 11-05.jpg
"Acton-Concord Old Stow Road, 2025-09-24 11-09.jpg",Acton/Concord Old Stow Road,2025-09-24 11-09,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99046/Acton-Concord Old Stow Road%2c 2025-09-24 11-09.jpg
"Acton-Concord Pope Road, 2025-03-25 11-36, 2.jpg",Acton/Concord Pope Road,2025-03-25 11-36,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99047/Acton-Concord Pope Road%2c 2025-03-25 11-36%2c 2.jpg
"Acton-Concord Pope Road, 2025-03-25 11-36.jpg",Acton/Concord Pope Road,2025-03-25 11-36,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99048/Acton-Concord Pope Road%2c 2025-03-25 11-36.jpg
"Acton-Concord Pope Road, 2025-06-30 13-44.jpg",Acton/Concord Pope Road,2025-06-30 13-44,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99049/Acton-Concord Pope Road%2c 2025-06-30 13-44.jpg
"Acton-Concord Pope Road, 2025-06-30 13-46, Paint can demonstration.jpg",Acton/Concord Pope Road,2025-06-30 13-46,Paint can demonstration,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99050/Acton-Concord Pope Road%2c 2025-06-30 13-46%2c Paint can demonstration.jpg
"Acton-Concord Pope Road, 2025-06-30 13-46.jpg",Acton/Concord Pope Road,2025-06-30 13-46,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99051/Acton-Concord Pope Road%2c 2025-06-30 13-46.jpg
"Acton-Concord Pope Road, 2025-06-30 13-48.jpg",Acton/Concord Pope Road,2025-06-30 13-48,,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99052/Acton-Concord Pope Road%2c 2025-06-30 13-48.jpg
"Acton-Concord Powder Mill Road (Rte 62), 2025-04-23 15-26, A promising marker and maybe a buried monument.jpg",Acton/Concord Powder Mill Road (Rte 62),2025-04-23 15-26,A promising marker and maybe a buried monument,yes,,monument,portrait,yes,https://doc.actonma.gov/dsweb/Get/Document-99053/Acton-Concord Powder Mill Road (Rte 62)%2c 2025-04-23 15-26%2c A promising marker and maybe a buried monument.jpg
